symbol,fold_idx,n_pos,n_neg,auc_fold,model_name
CRV,4,0,10,,encoder_seed0
DOGE,0,0,33,,encoder_seed0
DOGE,1,0,32,,encoder_seed0
DOGE,2,0,27,,encoder_seed0
DOGE,3,0,9,,encoder_seed0
DOGE,4,0,10,,encoder_seed0
ENA,0,0,46,,encoder_seed0
ENA,1,3,34,0.19607843137254902,encoder_seed0
ENA,2,3,25,0.43999999999999995,encoder_seed0
ENA,3,0,9,,encoder_seed0
ENA,4,0,10,,encoder_seed0
ETH,0,7,43,0.3322259136212624,encoder_seed0
ETH,1,9,47,0.24113475177304963,encoder_seed0
ETH,2,15,35,0.6590476190476191,encoder_seed0
ETH,3,7,17,0.5714285714285714,encoder_seed0
ETH,4,1,14,1.0,encoder_seed0
FARTCOIN,0,0,72,,encoder_seed0
FARTCOIN,1,2,66,0.75,encoder_seed0
FARTCOIN,2,0,47,,encoder_seed0
FARTCOIN,3,0,15,,encoder_seed0
FARTCOIN,4,0,16,,encoder_seed0
HYPE,0,2,58,0.11206896551724138,encoder_seed0
HYPE,1,13,70,0.6175824175824176,encoder_seed0
HYPE,2,7,48,0.40773809523809523,encoder_seed0
HYPE,3,4,20,0.47500000000000003,encoder_seed0
HYPE,4,0,13,,encoder_seed0
KBONK,0,0,42,,encoder_seed0
KBONK,1,0,41,,encoder_seed0
KBONK,2,0,39,,encoder_seed0
KBONK,3,0,17,,encoder_seed0
KBONK,4,0,17,,encoder_seed0
KPEPE,0,0,43,,encoder_seed0
KPEPE,1,0,41,,encoder_seed0
KPEPE,2,0,39,,encoder_seed0
KPEPE,3,0,17,,encoder_seed0
KPEPE,4,0,17,,encoder_seed0
LDO,0,0,33,,encoder_seed0
LDO,1,0,31,,encoder_seed0
LDO,2,0,26,,encoder_seed0
LDO,3,0,9,,encoder_seed0
LDO,4,0,9,,encoder_seed0
LINK,0,0,34,,encoder_seed0
LINK,1,0,31,,encoder_seed0
LINK,2,0,27,,encoder_seed0
LINK,3,0,9,,encoder_seed0
LINK,4,0,9,,encoder_seed0
LTC,0,0,32,,encoder_seed0
LTC,1,0,31,,encoder_seed0
LTC,2,0,26,,encoder_seed0
LTC,3,0,9,,encoder_seed0
LTC,4,0,9,,encoder_seed0
PENGU,0,0,32,,encoder_seed0
PENGU,1,0,31,,encoder_seed0
PENGU,2,3,24,0.29166666666666663,encoder_seed0
PENGU,3,0,9,,encoder_seed0
PENGU,4,0,9,,encoder_seed0
PUMP,0,0,34,,encoder_seed0
PUMP,1,0,34,,encoder_seed0
PUMP,2,2,26,0.3269230769230769,encoder_seed0
PUMP,3,0,9,,encoder_seed0
PUMP,4,0,10,,encoder_seed0
SOL,0,3,36,0.34259259259259256,encoder_seed0
SOL,1,9,35,0.7333333333333334,encoder_seed0
SOL,2,9,32,0.8402777777777778,encoder_seed0
SOL,3,0,19,,encoder_seed0
SOL,4,0,12,,encoder_seed0
SUI,0,0,34,,encoder_seed0
SUI,1,0,33,,encoder_seed0
SUI,2,4,24,0.5833333333333334,encoder_seed0
SUI,3,0,9,,encoder_seed0
SUI,4,0,10,,encoder_seed0
UNI,0,0,34,,encoder_seed0
UNI,1,0,31,,encoder_seed0
UNI,2,0,27,,encoder_seed0
UNI,3,0,9,,encoder_seed0
UNI,4,0,9,,encoder_seed0
WLFI,0,0,34,,encoder_seed0
WLFI,1,0,32,,encoder_seed0
WLFI,2,0,26,,encoder_seed0
WLFI,3,0,9,,encoder_seed0
WLFI,4,0,9,,encoder_seed0
XPL,0,0,33,,encoder_seed0
XPL,1,0,31,,encoder_seed0
XPL,2,0,27,,encoder_seed0
XPL,3,0,10,,encoder_seed0
XPL,4,0,10,,encoder_seed0
XRP,0,0,26,,encoder_seed0
XRP,1,1,27,0.4814814814814815,encoder_seed0
XRP,2,8,29,0.6551724137931034,encoder_seed0
XRP,3,0,13,,encoder_seed0
XRP,4,0,10,,encoder_seed0
2Z,0,0,33,,encoder_seed1
2Z,1,0,31,,encoder_seed1
2Z,2,0,27,,encoder_seed1
2Z,3,0,9,,encoder_seed1
2Z,4,0,9,,encoder_seed1
AAVE,0,5,28,0.3142857142857142,encoder_seed1
AAVE,1,2,30,0.4166666666666667,encoder_seed1
AAVE,2,4,24,0.6145833333333334,encoder_seed1
AAVE,3,0,9,,encoder_seed1
AAVE,4,0,9,,encoder_seed1
ASTER,0,0,34,,encoder_seed1
ASTER,1,0,32,,encoder_seed1
ASTER,2,0,27,,encoder_seed1
ASTER,3,0,9,,encoder_seed1
ASTER,4,0,9,,encoder_seed1
AVAX,0,1,33,0.0,encoder_seed1
AVAX,1,0,31,,encoder_seed1
AVAX,2,3,23,0.4782608695652174,encoder_seed1
AVAX,3,0,9,,encoder_seed1
AVAX,4,0,9,,encoder_seed1
BNB,0,2,24,0.75,encoder_seed1
BNB,1,0,29,,encoder_seed1
BNB,2,3,25,0.8133333333333334,encoder_seed1
BNB,3,0,10,,encoder_seed1
BNB,4,0,10,,encoder_seed1
BTC,0,5,50,0.5720000000000001,encoder_seed1
BTC,1,12,49,0.6428571428571428,encoder_seed1
BTC,2,12,45,0.3851851851851852,encoder_seed1
BTC,3,6,21,0.4285714285714286,encoder_seed1
BTC,4,2,16,0.53125,encoder_seed1
CRV,0,0,34,,encoder_seed1
CRV,1,0,31,,encoder_seed1
CRV,2,0,26,,encoder_seed1
CRV,3,0,9,,encoder_seed1
CRV,4,0,10,,encoder_seed1
DOGE,0,0,33,,encoder_seed1
DOGE,1,0,32,,encoder_seed1
DOGE,2,0,27,,encoder_seed1
DOGE,3,0,9,,encoder_seed1
DOGE,4,0,10,,encoder_seed1
ENA,0,0,46,,encoder_seed1
ENA,1,3,34,0.21568627450980393,encoder_seed1
ENA,2,3,25,0.5733333333333333,encoder_seed1
ENA,3,0,9,,encoder_seed1
ENA,4,0,10,,encoder_seed1
ETH,0,7,43,0.5348837209302325,encoder_seed1
ETH,1,9,47,0.37825059101654845,encoder_seed1
ETH,2,15,35,0.5047619047619047,encoder_seed1
ETH,3,7,17,0.4369747899159664,encoder_seed1
ETH,4,1,14,1.0,encoder_seed1
FARTCOIN,0,0,72,,encoder_seed1
FARTCOIN,1,2,66,0.6893939393939393,encoder_seed1
FARTCOIN,2,0,47,,encoder_seed1
FARTCOIN,3,0,15,,encoder_seed1
FARTCOIN,4,0,16,,encoder_seed1
HYPE,0,2,58,0.060344827586206906,encoder_seed1
HYPE,1,13,70,0.7549450549450549,encoder_seed1
HYPE,2,7,48,0.431547619047619,encoder_seed1
HYPE,3,4,20,0.5,encoder_seed1
HYPE,4,0,13,,encoder_seed1
KBONK,0,0,42,,encoder_seed1
KBONK,1,0,41,,encoder_seed1
KBONK,2,0,39,,encoder_seed1
KBONK,3,0,17,,encoder_seed1
KBONK,4,0,17,,encoder_seed1
KPEPE,0,0,43,,encoder_seed1
KPEPE,1,0,41,,encoder_seed1
KPEPE,2,0,39,,encoder_seed1
KPEPE,3,0,17,,encoder_seed1
KPEPE,4,0,17,,encoder_seed1
LDO,0,0,33,,encoder_seed1
LDO,1,0,31,,encoder_seed1
LDO,2,0,26,,encoder_seed1
LDO,3,0,9,,encoder_seed1
LDO,4,0,9,,encoder_seed1
LINK,0,0,34,,encoder_seed1
LINK,1,0,31,,encoder_seed1
LINK,2,0,27,,encoder_seed1
LINK,3,0,9,,encoder_seed1
LINK,4,0,9,,encoder_seed1
LTC,0,0,32,,encoder_seed1
LTC,1,0,31,,encoder_seed1
LTC,2,0,26,,encoder_seed1
LTC,3,0,9,,encoder_seed1
LTC,4,0,9,,encoder_seed1
PENGU,0,0,32,,encoder_seed1
PENGU,1,0,31,,encoder_seed1
PENGU,2,3,24,0.2777777777777778,encoder_seed1
PENGU,3,0,9,,encoder_seed1
PENGU,4,0,9,,encoder_seed1
PUMP,0,0,34,,encoder_seed1
PUMP,1,0,34,,encoder_seed1
PUMP,2,2,26,0.3461538461538462,encoder_seed1
PUMP,3,0,9,,encoder_seed1
PUMP,4,0,10,,encoder_seed1
SOL,0,3,36,0.4444444444444444,encoder_seed1
SOL,1,9,35,0.5301587301587302,encoder_seed1
SOL,2,9,32,0.6840277777777778,encoder_seed1
SOL,3,0,19,,encoder_seed1
SOL,4,0,12,,encoder_seed1
SUI,0,0,34,,encoder_seed1
SUI,1,0,33,,encoder_seed1
SUI,2,4,24,0.46875000000000006,encoder_seed1
SUI,3,0,9,,encoder_seed1
SUI,4,0,10,,encoder_seed1
UNI,0,0,34,,encoder_seed1
UNI,1,0,31,,encoder_seed1
UNI,2,0,27,,encoder_seed1
UNI,3,0,9,,encoder_seed1
UNI,4,0,9,,encoder_seed1
WLFI,0,0,34,,encoder_seed1
WLFI,1,0,32,,encoder_seed1
WLFI,2,0,26,,encoder_seed1
WLFI,3,0,9,,encoder_seed1
WLFI,4,0,9,,encoder_seed1
XPL,0,0,33,,encoder_seed1
XPL,1,0,31,,encoder_seed1
XPL,2,0,27,,encoder_seed1
XPL,3,0,10,,encoder_seed1
XPL,4,0,10,,encoder_seed1
XRP,0,0,26,,encoder_seed1
XRP,1,1,27,0.0,encoder_seed1
XRP,2,8,29,0.6508620689655172,encoder_seed1
XRP,3,0,13,,encoder_seed1
XRP,4,0,10,,encoder_seed1
2Z,0,0,33,,encoder_seed2
2Z,1,0,31,,encoder_seed2
2Z,2,0,27,,encoder_seed2
2Z,3,0,9,,encoder_seed2
2Z,4,0,9,,encoder_seed2
AAVE,0,5,28,0.7000000000000001,encoder_seed2
AAVE,1,2,30,0.0,encoder_seed2
AAVE,2,4,24,0.3229166666666667,encoder_seed2
AAVE,3,0,9,,encoder_seed2
AAVE,4,0,9,,encoder_seed2
ASTER,0,0,34,,encoder_seed2
ASTER,1,0,32,,encoder_seed2
ASTER,2,0,27,,encoder_seed2
ASTER,3,0,9,,encoder_seed2
ASTER,4,0,9,,encoder_seed2
AVAX,0,1,33,0.0,encoder_seed2
AVAX,1,0,31,,encoder_seed2
AVAX,2,3,23,0.463768115942029,encoder_seed2
AVAX,3,0,9,,encoder_seed2
AVAX,4,0,9,,encoder_seed2
BNB,0,2,24,0.3958333333333333,encoder_seed2
BNB,1,0,29,,encoder_seed2
BNB,2,3,25,0.6399999999999999,encoder_seed2
BNB,3,0,10,,encoder_seed2
BNB,4,0,10,,encoder_seed2
BTC,0,5,50,0.52,encoder_seed2
BTC,1,12,49,0.4506802721088436,encoder_seed2
BTC,2,12,45,0.39814814814814814,encoder_seed2
BTC,3,6,21,0.5317460317460317,encoder_seed2
BTC,4,2,16,0.5,encoder_seed2
CRV,0,0,34,,encoder_seed2
CRV,1,0,31,,encoder_seed2
CRV,2,0,26,,encoder_seed2
CRV,3,0,9,,encoder_seed2
CRV,4,0,10,,encoder_seed2
DOGE,0,0,33,,encoder_seed2
DOGE,1,0,32,,encoder_seed2
DOGE,2,0,27,,encoder_seed2
DOGE,3,0,9,,encoder_seed2
DOGE,4,0,10,,encoder_seed2
ENA,0,0,46,,encoder_seed2
ENA,1,3,34,0.4509803921568627,encoder_seed2
ENA,2,3,25,0.8266666666666667,encoder_seed2
ENA,3,0,9,,encoder_seed2
ENA,4,0,10,,encoder_seed2
ETH,0,7,43,0.4485049833887043,encoder_seed2
ETH,1,9,47,0.475177304964539,encoder_seed2
ETH,2,15,35,0.44571428571428573,encoder_seed2
ETH,3,7,17,0.5630252100840336,encoder_seed2
ETH,4,1,14,0.8571428571428572,encoder_seed2
FARTCOIN,0,0,72,,encoder_seed2
FARTCOIN,1,2,66,0.6363636363636364,encoder_seed2
FARTCOIN,2,0,47,,encoder_seed2
FARTCOIN,3,0,15,,encoder_seed2
FARTCOIN,4,0,16,,encoder_seed2
HYPE,0,2,58,0.08620689655172414,encoder_seed2
HYPE,1,13,70,0.643956043956044,encoder_seed2
HYPE,2,7,48,0.4851190476190476,encoder_seed2
HYPE,3,4,20,0.7999999999999999,encoder_seed2
HYPE,4,0,13,,encoder_seed2
KBONK,0,0,42,,encoder_seed2
KBONK,1,0,41,,encoder_seed2
KBONK,2,0,39,,encoder_seed2
KBONK,3,0,17,,encoder_seed2
KBONK,4,0,17,,encoder_seed2
KPEPE,0,0,43,,encoder_seed2
KPEPE,1,0,41,,encoder_seed2
KPEPE,2,0,39,,encoder_seed2
KPEPE,3,0,17,,encoder_seed2
KPEPE,4,0,17,,encoder_seed2
LDO,0,0,33,,encoder_seed2
LDO,1,0,31,,encoder_seed2
LDO,2,0,26,,encoder_seed2
LDO,3,0,9,,encoder_seed2
LDO,4,0,9,,encoder_seed2
LINK,0,0,34,,encoder_seed2
LINK,1,0,31,,encoder_seed2
LINK,2,0,27,,encoder_seed2
LINK,3,0,9,,encoder_seed2
LINK,4,0,9,,encoder_seed2
LTC,0,0,32,,encoder_seed2
LTC,1,0,31,,encoder_seed2
LTC,2,0,26,,encoder_seed2
LTC,3,0,9,,encoder_seed2
LTC,4,0,9,,encoder_seed2
PENGU,0,0,32,,encoder_seed2
PENGU,1,0,31,,encoder_seed2
PENGU,2,3,24,0.611111111111111,encoder_seed2
PENGU,3,0,9,,encoder_seed2
PENGU,4,0,9,,encoder_seed2
PUMP,0,0,34,,encoder_seed2
PUMP,1,0,34,,encoder_seed2
PUMP,2,2,26,0.6153846153846154,encoder_seed2
PUMP,3,0,9,,encoder_seed2
PUMP,4,0,10,,encoder_seed2
SOL,0,3,36,0.27777777777777773,encoder_seed2
SOL,1,9,35,0.5587301587301587,encoder_seed2
SOL,2,9,32,0.6666666666666666,encoder_seed2
SOL,3,0,19,,encoder_seed2
SOL,4,0,12,,encoder_seed2
SUI,0,0,34,,encoder_seed2
SUI,1,0,33,,encoder_seed2
SUI,2,4,24,0.625,encoder_seed2
SUI,3,0,9,,encoder_seed2
SUI,4,0,10,,encoder_seed2
UNI,0,0,34,,encoder_seed2
UNI,1,0,31,,encoder_seed2
UNI,2,0,27,,encoder_seed2
UNI,3,0,9,,encoder_seed2
UNI,4,0,9,,encoder_seed2
WLFI,0,0,34,,encoder_seed2
WLFI,1,0,32,,encoder_seed2
WLFI,2,0,26,,encoder_seed2
WLFI,3,0,9,,encoder_seed2
WLFI,4,0,9,,encoder_seed2
XPL,0,0,33,,encoder_seed2
XPL,1,0,31,,encoder_seed2
XPL,2,0,27,,encoder_seed2
XPL,3,0,10,,encoder_seed2
XPL,4,0,10,,encoder_seed2
XRP,0,0,26,,encoder_seed2
XRP,1,1,27,0.4814814814814815,encoder_seed2
XRP,2,8,29,0.6422413793103449,encoder_seed2
XRP,3,0,13,,encoder_seed2
XRP,4,0,10,,encoder_seed2
