source_key,source_path,channel,symbol,date,hour,size_bytes,sha256,rows,archive_file,archive_size_bytes,archive_sha256,status
channel=candle/symbol=ETH/date=2026-05-01/hour=16/run-20260501T214645Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_broader_sample/channel=candle/symbol=ETH/date=2026-05-01/hour=16/run-20260501T214645Z.jsonl.gz,candle,ETH,2026-05-01,16,1810,c0a6c915df68c5048bddb5a8b1c4c4e5fc3b30b8ceccc77a23610756c6a10ed8,6,archive_part-00000.parquet,364049,af2a7676a76204624c7a70417595562da9fd2e377664a012b7cf8080dd9a115b,verified
channel=candle/symbol=SOL/date=2026-05-01/hour=16/run-20260501T214645Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_broader_sample/channel=candle/symbol=SOL/date=2026-05-01/hour=16/run-20260501T214645Z.jsonl.gz,candle,SOL,2026-05-01,16,1474,923e3f9ad2c4da768b7043dc8654d8838f9fd9bd4e4a1d7ceeee085c3609a190,5,archive_part-00000.parquet,364049,af2a7676a76204624c7a70417595562da9fd2e377664a012b7cf8080dd9a115b,verified
channel=mark_price_candle/symbol=2Z/date=2026-05-01/run-20260501T101607Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_broader_sample/channel=mark_price_candle/symbol=2Z/date=2026-05-01/run-20260501T101607Z.jsonl.gz,mark_price_candle,2Z,2026-05-01,,32615,7f4c832bb9e7028229f196a694438a6e7051b55152099b4f683c918650745917,109,archive_part-00000.parquet,364049,af2a7676a76204624c7a70417595562da9fd2e377664a012b7cf8080dd9a115b,verified
channel=mark_price_candle/symbol=BTC/date=2026-05-01/run-20260501T101607Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_broader_sample/channel=mark_price_candle/symbol=BTC/date=2026-05-01/run-20260501T101607Z.jsonl.gz,mark_price_candle,BTC,2026-05-01,,16976,cc69c9527ed921375b288a2a650e96fe9a5ee4062d89ec67aea5d26f9fce4c2c,55,archive_part-00000.parquet,364049,af2a7676a76204624c7a70417595562da9fd2e377664a012b7cf8080dd9a115b,verified
channel=mark_price_candle/symbol=ETH/date=2026-05-01/run-20260501T101607Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_broader_sample/channel=mark_price_candle/symbol=ETH/date=2026-05-01/run-20260501T101607Z.jsonl.gz,mark_price_candle,ETH,2026-05-01,,3486,b58b8974ee8f0f2ed01e1278a9c31e00910f88d1844ddcfcd6f8441646959856,11,archive_part-00000.parquet,364049,af2a7676a76204624c7a70417595562da9fd2e377664a012b7cf8080dd9a115b,verified
channel=mark_price_candle/symbol=SOL/date=2026-05-01/run-20260501T113605Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_broader_sample/channel=mark_price_candle/symbol=SOL/date=2026-05-01/run-20260501T113605Z.jsonl.gz,mark_price_candle,SOL,2026-05-01,,20194,fe302a2612e7c5df6d8cbf5238807a33ed9c4157e93dc9fd0607b1f36534dfd3,66,archive_part-00000.parquet,364049,af2a7676a76204624c7a70417595562da9fd2e377664a012b7cf8080dd9a115b,verified
channel=prices/symbol=2Z/date=2026-05-01/run-20260501T101433Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_broader_sample/channel=prices/symbol=2Z/date=2026-05-01/run-20260501T101433Z.jsonl.gz,prices,2Z,2026-05-01,,57952,cbf419ca061a8826301d6bd7010c480314530f44505daa7df82f9cc95a1e6087,10,archive_part-00000.parquet,364049,af2a7676a76204624c7a70417595562da9fd2e377664a012b7cf8080dd9a115b,verified
channel=prices/symbol=BTC/date=2026-05-01/run-20260501T101607Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_broader_sample/channel=prices/symbol=BTC/date=2026-05-01/run-20260501T101607Z.jsonl.gz,prices,BTC,2026-05-01,,23236,8bdbcabf2b7f1b1938ede300ebc181514539bad337bbe6e0465ee7bfedaa88a9,4,archive_part-00000.parquet,364049,af2a7676a76204624c7a70417595562da9fd2e377664a012b7cf8080dd9a115b,verified
channel=prices/symbol=ETH/date=2026-05-01/run-20260501T101607Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_broader_sample/channel=prices/symbol=ETH/date=2026-05-01/run-20260501T101607Z.jsonl.gz,prices,ETH,2026-05-01,,29060,e7c71b94c516c625d540e8ac9f418ebee981aad2064daf90f65289577f7e656f,5,archive_part-00000.parquet,364049,af2a7676a76204624c7a70417595562da9fd2e377664a012b7cf8080dd9a115b,verified
channel=prices/symbol=SOL/date=2026-05-01/run-20260501T101607Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_broader_sample/channel=prices/symbol=SOL/date=2026-05-01/run-20260501T101607Z.jsonl.gz,prices,SOL,2026-05-01,,23236,167735d1d03f7cfcba871ca90095cff0f7f9d3cd943a0eeb36f0d2665515b348,4,archive_part-00000.parquet,364049,af2a7676a76204624c7a70417595562da9fd2e377664a012b7cf8080dd9a115b,verified
channel=trades/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_broader_sample/channel=trades/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz,trades,2Z,2026-04-30,,74540,82c8d89c4225b36089a41e1cc4e5e4a417fc1c8fee2bd31fbc4558067b79e5fa,252,archive_part-00000.parquet,364049,af2a7676a76204624c7a70417595562da9fd2e377664a012b7cf8080dd9a115b,verified
channel=trades/symbol=2Z/date=2026-05-01/run-20260501T113605Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_broader_sample/channel=trades/symbol=2Z/date=2026-05-01/run-20260501T113605Z.jsonl.gz,trades,2Z,2026-05-01,,594,da740b4704b0f913c8a66dd83c3a1f11c4ddf7cfd2b127e1ace9b44d181c3c1b,2,archive_part-00000.parquet,364049,af2a7676a76204624c7a70417595562da9fd2e377664a012b7cf8080dd9a115b,verified
channel=trades/symbol=BTC/date=2026-05-01/run-20260501T110531Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_broader_sample/channel=trades/symbol=BTC/date=2026-05-01/run-20260501T110531Z.jsonl.gz,trades,BTC,2026-05-01,,304,28b58abe49f0f36bc9861259ae1b375e945a13419d23e71455481b18697912e2,1,archive_part-00000.parquet,364049,af2a7676a76204624c7a70417595562da9fd2e377664a012b7cf8080dd9a115b,verified
channel=trades/symbol=ETH/date=2026-05-01/run-20260501T113605Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_broader_sample/channel=trades/symbol=ETH/date=2026-05-01/run-20260501T113605Z.jsonl.gz,trades,ETH,2026-05-01,,308,b961ebe367fb3cc7c3359cef35edaeccfaa6d2b97896a9ed2d6b9e18cdea48ba,1,archive_part-00000.parquet,364049,af2a7676a76204624c7a70417595562da9fd2e377664a012b7cf8080dd9a115b,verified
channel=trades/symbol=SOL/date=2026-05-01/run-20260501T103545Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_broader_sample/channel=trades/symbol=SOL/date=2026-05-01/run-20260501T103545Z.jsonl.gz,trades,SOL,2026-05-01,,304,6e80777caca4958a6f1d95a65a025cb55f75d825e49e6d8da146b218b4e5d08d,1,archive_part-00000.parquet,364049,af2a7676a76204624c7a70417595562da9fd2e377664a012b7cf8080dd9a115b,verified
