horizon,delay_events,n_events,n_days,n_symbols,median_net_bps,mean_net_bps,frac_positive,median_gross_reversion_bps
50,0,2,2,2,13.050931530537838,13.050931530537838,0.5,27.050931530537838
50,10,2,2,2,9.658951822652654,9.658951822652654,0.5,23.658951822652654
50,50,2,2,2,1.0101983308559284,1.0101983308559284,0.5,15.010198330855928
100,0,2,2,2,28.061129861393766,28.061129861393766,1.0,42.061129861393766
100,10,2,2,2,22.301409600126846,22.301409600126846,1.0,36.301409600126846
100,50,2,2,2,17.23139770650596,17.23139770650596,0.5,31.23139770650596
500,0,1,1,1,11.217407792295088,11.217407792295088,1.0,25.217407792295088
500,10,1,1,1,-13.99999740794232,-13.99999740794232,0.0,2.5920576796067962e-06
500,50,1,1,1,-56.986538400098254,-56.986538400098254,0.0,-42.986538400098254
