symbol,date,burst_start_ts,burst_end_ts,anchor_idx,delay_events,horizon,n_trades,notional_sum,burst_return_bps,burst_abs_return_bps,burst_sign,forward_log_return,round_trip_cost_bps,gross_reversion_bps,net_reversion_bps,gross_continuation_bps,net_reversion_positive
ETH,2026-04-19,1776618293581,1776618327074,2496,0,50,10,2218.7685,-23.480313422745553,23.480313422745553,-1,0.004733890975330501,14.0,47.33890975330502,33.33890975330502,-47.33890975330502,True
ETH,2026-04-19,1776618293581,1776618327074,2496,0,100,10,2218.7685,-23.480313422745553,23.480313422745553,-1,0.005513483039976341,14.0,55.134830399763416,41.134830399763416,-55.134830399763416,True
ETH,2026-04-19,1776618293581,1776618327074,2496,0,500,10,2218.7685,-23.480313422745553,23.480313422745553,-1,0.002521740779229509,14.0,25.217407792295088,11.217407792295088,-25.217407792295088,True
ETH,2026-04-19,1776618293581,1776618327074,2496,10,50,10,2218.7685,-23.480313422745553,23.480313422745553,-1,0.004554828450636483,14.0,45.54828450636484,31.548284506364837,-45.54828450636484,True
ETH,2026-04-19,1776618293581,1776618327074,2496,10,100,10,2218.7685,-23.480313422745553,23.480313422745553,-1,0.005593025583948252,14.0,55.93025583948253,41.93025583948253,-55.93025583948253,True
ETH,2026-04-19,1776618293581,1776618327074,2496,10,500,10,2218.7685,-23.480313422745553,23.480313422745553,-1,2.592057679606796e-10,14.0,2.5920576796067962e-06,-13.99999740794232,-2.5920576796067962e-06,False
ETH,2026-04-19,1776618293581,1776618327074,2496,50,50,10,2218.7685,-23.480313422745553,23.480313422745553,-1,0.0007795920646458399,14.0,7.7959206464583986,-6.2040793535416014,-7.7959206464583986,False
ETH,2026-04-19,1776618293581,1776618327074,2496,50,100,10,2218.7685,-23.480313422745553,23.480313422745553,-1,-0.00012999111640965566,14.0,-1.2999111640965566,-15.299911164096557,1.2999111640965566,False
ETH,2026-04-19,1776618293581,1776618327074,2496,50,500,10,2218.7685,-23.480313422745553,23.480313422745553,-1,-0.004298653840009825,14.0,-42.986538400098254,-56.986538400098254,42.986538400098254,False
HYPE,2026-04-21,1776791891608,1776791930101,1643,0,50,8,244.67592,-13.652914742135833,13.652914742135833,-1,0.0006762953307770658,14.0,6.762953307770658,-7.237046692229342,-6.762953307770658,False
HYPE,2026-04-21,1776791891608,1776791930101,1643,0,100,8,244.67592,-13.652914742135833,13.652914742135833,-1,0.0028987429323024116,14.0,28.987429323024116,14.987429323024116,-28.987429323024116,True
HYPE,2026-04-21,1776791891608,1776791930101,1643,10,50,8,244.67592,-13.652914742135833,13.652914742135833,-1,0.00017696191389404703,14.0,1.7696191389404703,-12.23038086105953,-1.7696191389404703,False
HYPE,2026-04-21,1776791891608,1776791930101,1643,10,100,8,244.67592,-13.652914742135833,13.652914742135833,-1,0.0016672563360771164,14.0,16.672563360771164,2.6725633607711643,-16.672563360771164,True
HYPE,2026-04-21,1776791891608,1776791930101,1643,50,50,8,244.67592,-13.652914742135833,13.652914742135833,-1,0.002222447601525346,14.0,22.224476015253458,8.224476015253458,-22.224476015253458,True
HYPE,2026-04-21,1776791891608,1776791930101,1643,50,100,8,244.67592,-13.652914742135833,13.652914742135833,-1,0.0063762706577108474,14.0,63.762706577108474,49.762706577108474,-63.762706577108474,True
