source_key,source_path,channel,symbol,date,hour,size_bytes,sha256,rows,archive_file,archive_size_bytes,archive_sha256,status
channel=bbo/symbol=2Z/date=2026-05-01/hour=22/run-20260501T215139Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_sample/channel=bbo/symbol=2Z/date=2026-05-01/hour=22/run-20260501T215139Z.jsonl.gz,bbo,2Z,2026-05-01,22,287,de813e935be1cbe0d1d2f365eaaa29a1bc8224775868d88df1920ce45a8720ff,1,archive_part-00000.parquet,47626,161960436303e768a5bae8b7b6cbc78fc15dd8a144e71b9bde75c1287e33180c,verified
channel=bbo/symbol=2Z/date=2026-05-01/hour=22/run-20260501T220740Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_sample/channel=bbo/symbol=2Z/date=2026-05-01/hour=22/run-20260501T220740Z.jsonl.gz,bbo,2Z,2026-05-01,22,91067,c50393fd3cd906770893ae43cb94471c0752fe51965a42fc4cfcbbb517dbf207,321,archive_part-00000.parquet,47626,161960436303e768a5bae8b7b6cbc78fc15dd8a144e71b9bde75c1287e33180c,verified
channel=bbo/symbol=2Z/date=2026-05-01/hour=23/run-20260501T220740Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_sample/channel=bbo/symbol=2Z/date=2026-05-01/hour=23/run-20260501T220740Z.jsonl.gz,bbo,2Z,2026-05-01,23,94693,d2fda38fc7c852639f324589e6c6d3fe15f23b342ad355c3a1c0f3d47e9125f1,333,archive_part-00000.parquet,47626,161960436303e768a5bae8b7b6cbc78fc15dd8a144e71b9bde75c1287e33180c,verified
