symbol,horizon,signal_kind,percentile_cutoff,n_total_windows,n_extreme_windows,extreme_frequency,mean_signed_return_extreme,median_signed_return_extreme,p25_signed_return_extreme,p75_signed_return_extreme,frac_positive_signed_return_extreme,gross_extreme_bps,cost_round_trip_bps,headroom_extreme_bps,per_day_expected_gross_bps
KPEPE,100,flow,0.95,4579,273,0.05962,-3.95579,-1.4477,-29.7489,23.0084,0.47619,3.95579,10,-6.04421,-0.360356
KPEPE,500,flow,0.95,4251,245,0.0576335,-4.27425,-7.00918,-67.0961,56.952,0.461224,4.27425,10,-5.72575,-0.329995
LDO,10,flow,0.95,4367,250,0.0572475,-1.98261,-2.18279e-07,-10.8786,6.94287,0.428,1.98261,10,-8.01739,-0.458976
LDO,50,flow,0.95,4333,248,0.0572352,0.707594,1.45519e-07,-24.4311,22.2371,0.5,0.707594,10,-9.29241,-0.531852
LDO,100,flow,0.95,4297,244,0.0567838,-3.81458,-3.0733,-32.2009,25.1499,0.471311,3.81458,10,-6.18542,-0.351232
LDO,500,flow,0.95,3969,214,0.0539179,-8.05277,-1.25025,-61.6233,54.1873,0.495327,8.05277,10,-1.94723,-0.10499
LINK,10,flow,0.95,4656,205,0.0440292,0.559302,0,-6.80928,7.53864,0.497561,0.559302,10,-9.4407,-0.415666
LINK,50,flow,0.95,4634,203,0.0438066,1.34817,-0.803827,-16.1009,16.0804,0.497537,1.34817,10,-8.65183,-0.379008
LINK,100,flow,0.95,4592,202,0.0439895,-1.86243,-1.20584,-23.1641,16.7674,0.475248,1.86243,10,-8.13757,-0.357968
LINK,500,flow,0.95,4264,192,0.0450281,3.36366,1.15006,-44.8506,50.6342,0.505208,3.36366,10,-6.63634,-0.298822
LTC,10,flow,0.95,4829,236,0.0488714,-0.666991,0,-7.65546,6.37741,0.495763,0.666991,10,-9.33301,-0.456117
LTC,50,flow,0.95,4798,235,0.0489787,1.16019,1.67347e-06,-15.6818,19.5711,0.52766,1.16019,10,-8.83981,-0.432963
LTC,100,flow,0.95,4766,234,0.0490978,5.25042,3.19817,-15.8492,22.7419,0.534188,5.25042,10,-4.74958,-0.233194
LTC,500,flow,0.95,4438,215,0.0484452,11.4684,8.17231,-35.7925,50.0955,0.539535,11.4684,10,1.46842,0.0711377
PENGU,10,flow,0.95,4650,317,0.068172,-1.10961,0,-10.8653,11.0041,0.488959,1.10961,10,-8.89039,-0.606076
PENGU,50,flow,0.95,4620,316,0.0683983,-0.751387,0.619144,-24.7211,26.8878,0.512658,0.751387,10,-9.24861,-0.632589
PENGU,100,flow,0.95,4575,315,0.0688525,-1.11659,1.45519e-06,-35.8432,34.2184,0.504762,1.11659,10,-8.88341,-0.611645
PENGU,500,flow,0.95,4247,288,0.0678126,-10.3978,-3.90658,-80.2805,83.4029,0.472222,10.3978,10,0.397842,0.0269787
PUMP,10,flow,0.95,5147,259,0.0503206,-0.333384,0,-11.6362,10.2423,0.432432,0.333384,10,-9.66662,-0.48643
PUMP,50,flow,0.95,5112,256,0.0500782,-0.229864,1.14596e-06,-20.2481,21.288,0.515625,0.229864,10,-9.77014,-0.489271
PUMP,100,flow,0.95,5074,253,0.049862,-3.38853,1.16415e-06,-36.5631,31.9528,0.517787,3.38853,10,-6.61147,-0.329661
PUMP,500,flow,0.95,4746,234,0.0493047,-5.56965,-5.51369,-86.1522,74.602,0.478632,5.56965,10,-4.43035,-0.218437
SOL,10,flow,0.95,9984,435,0.0435697,0.659688,0.534288,-4.86886,6.14723,0.510345,0.659688,10,-9.34031,-0.406955
SOL,50,flow,0.95,9948,433,0.0435263,-1.06955,7.27551e-08,-13.7427,12.5777,0.501155,1.06955,10,-8.93045,-0.38871
SOL,100,flow,0.95,9898,430,0.0434431,-0.852571,-2.41926e-06,-18.2343,17.345,0.493023,0.852571,10,-9.14743,-0.397393
SOL,500,flow,0.95,9568,414,0.0432692,-0.315285,-0.1119,-37.0077,33.9235,0.5,0.315285,10,-9.68472,-0.41905
SUI,10,flow,0.95,5001,291,0.0581884,0.0238576,-3.63798e-08,-8.51109,6.92482,0.487973,0.0238576,10,-9.97614,-0.580495
SUI,50,flow,0.95,4968,287,0.0577697,1.48952,0.938659,-16.6569,20.1058,0.508711,1.48952,10,-8.51048,-0.491648
SUI,100,flow,0.95,4928,283,0.0574269,-2.06348,-2.02368,-26.784,27.7524,0.477032,2.06348,10,-7.93652,-0.45577
SUI,500,flow,0.95,4600,259,0.0563043,-6.25487,-1.5237,-61.9352,46.6452,0.482625,6.25487,10,-3.74513,-0.210867
UNI,10,flow,0.95,4434,228,0.0514208,-1.11498,0,-8.71303,6.6364,0.473684,1.11498,10,-8.88502,-0.456875
UNI,50,flow,0.95,4402,226,0.0513403,0.288999,1.57823,-15.5207,16.2793,0.522124,0.288999,10,-9.711,-0.498566
UNI,100,flow,0.95,4365,224,0.0513173,3.66012,4.98584,-19.6068,27.6796,0.53125,3.66012,10,-6.33988,-0.325346
UNI,500,flow,0.95,4037,206,0.051028,-2.98236,-3.31563,-47.4484,40.1131,0.485437,2.98236,10,-7.01764,-0.358096
WLFI,10,flow,0.95,4624,238,0.0514706,2.61177,0,-7.28067,9.59694,0.407563,2.61177,10,-7.38823,-0.380277
WLFI,50,flow,0.95,4593,238,0.051818,-0.0892892,0,-20.6035,22.3554,0.47479,0.0892892,10,-9.91071,-0.513553
WLFI,100,flow,0.95,4556,235,0.0515803,2.04954,5.82077e-07,-25.2845,33.3531,0.519149,2.04954,10,-7.95046,-0.410087
