symbol,size_usd,horizon,n_windows,n_fillable_with_edge,fillable_frac,slip_median_bps,slip_p90_bps,edge_median_bps,edge_p75_bps,edge_p90_bps,headroom_median_bps,headroom_p75_bps,headroom_p90_bps,frac_positive_headroom,headroom_55_median_bps,headroom_55_p75_bps,headroom_55_p90_bps,frac_pos_acc_55,headroom_575_median_bps,headroom_575_p75_bps,headroom_575_p90_bps,frac_pos_acc_575,headroom_60_median_bps,headroom_60_p75_bps,headroom_60_p90_bps,frac_pos_acc_60
ENA,1000,100,5518,5442,1,2.42894,4.49597,31.4678,61.7081,103.071,14.4365,44.6898,85.7578,0.705072,-13.2693,-10.3197,-6.38067,0.0259096,-11.8953,-7.4999,-1.54559,0.0801176,-10.4633,-4.61751,3.57651,0.14774
ENA,1000,500,5518,5108,1,2.42894,4.49597,70.8516,135.61,224.798,54.0426,117.958,207.447,0.869225,-9.6132,-3.50853,5.35939,0.173258,-6.21958,3.04128,16.3065,0.318716,-2.72379,9.70816,27.2932,0.433046
ENA,10000,10,5518,5505,0.998913,3.96901,6.21442,9.73494,18.9897,33.1976,-10.4406,-1.4792,12.2999,0.224342,-18.6897,-16.98,-15.4809,0,-18.151,-16.2666,-14.3925,0.000181653,-17.6683,-15.5921,-13.1138,0.00181653
ENA,10000,50,5518,5474,0.998913,3.96901,6.21442,22.6566,44.1393,73.0466,2.42513,23.5621,51.0385,0.543478,-17.3042,-15.1393,-12.583,0.00347095,-16.2051,-13.3188,-9.31565,0.0157106,-15.1611,-11.3289,-5.9299,0.0403727
ENA,10000,100,5518,5436,0.998913,3.96901,6.21442,31.4678,61.7081,103.071,11.1723,41.0907,81.615,0.654893,-16.4459,-13.6564,-10.0434,0.0123252,-15.029,-10.9858,-5.10789,0.0474614,-13.5167,-8.14505,-0.194294,0.09805
ENA,10000,500,5518,5102,0.998913,3.96901,6.21442,70.8516,135.61,224.798,50.7402,115.085,202.484,0.847707,-12.7069,-6.75367,1.73588,0.117013,-9.23594,-0.176906,12.6119,0.24657,-5.82482,6.3278,23.7544,0.362603
ENA,100000,10,5518,2990,0.54295,8.06022,11.6816,9.73494,18.9897,33.1976,-15.8767,-7.81808,4.68653,0.142475,-24.674,-21.7908,-20.2894,0,-23.8816,-21.19,-19.6114,0,-23.2151,-20.5771,-18.5979,0.000334448
ENA,100000,50,5518,2976,0.54295,8.06022,11.6816,22.6566,44.1393,73.0466,-3.61508,15.7096,41.9589,0.432124,-22.7793,-20.2695,-18.1573,0.00134409,-21.5673,-18.749,-15.6307,0.00504032,-20.588,-17.0322,-12.4842,0.0171371
ENA,100000,100,5518,2962,0.54295,8.06022,11.6816,31.4678,61.7081,103.071,3.77749,30.8225,71.9327,0.554693,-21.8649,-19.0176,-16.0157,0.00236327,-20.4933,-16.712,-11.4969,0.0182309,-19.1476,-14.297,-6.8994,0.0479406
ENA,100000,500,5518,2814,0.54295,8.06022,11.6816,70.8516,135.61,224.798,40.8227,99.928,184.682,0.797086,-18.4733,-13.1493,-5.66634,0.0518834,-15.1623,-7.04727,4.81465,0.138237,-12.0049,-1.02488,14.9458,0.238095
ETH,1000,10,15808,15801,1,0.230473,0.914986,3.49778,7.25742,12.4793,-9.20933,-5.50134,-0.471387,0.0932219,-12.1637,-11.8112,-11.3415,0.000126574,-12.0334,-11.5005,-10.7723,0.000189861,-11.8947,-11.1751,-10.2032,0.000379723
ETH,1000,50,15808,15770,1,0.230473,0.914986,8.54671,16.9617,29.1672,-4.18394,4.12855,16.2894,0.351871,-11.7444,-10.9446,-9.77205,0.000760938,-11.3577,-10.1418,-8.34566,0.0043754,-10.9531,-9.31424,-6.93624,0.01078
ETH,1000,100,15808,15725,1,0.230473,0.914986,12.1915,23.9758,40.6597,-0.557317,11.2197,27.8791,0.482607,-11.4115,-10.2854,-8.68448,0.00286169,-10.8307,-9.1206,-6.69213,0.0134181,-10.2449,-7.94599,-4.68228,0.0337043
ETH,1000,500,15808,15389,1,0.230473,0.914986,26.7715,53.7333,91.6687,14.0559,40.9323,78.8771,0.726168,-10.0198,-7.36919,-3.64459,0.0436026,-8.69474,-4.69382,0.896856,0.115667,-7.36228,-2.02677,5.4517,0.194814
ETH,10000,10,15808,15781,0.998735,0.289838,1.30599,3.49778,7.25742,12.4793,-9.51068,-5.80757,-0.72925,0.0885242,-12.298,-11.948,-11.4846,0.000126735,-12.2105,-11.6696,-10.9556,0.000190102,-12.0988,-11.3656,-10.393,0.000316837
ETH,10000,50,15808,15750,0.998735,0.289838,1.30599,8.54671,16.9617,29.1672,-4.51481,3.81096,15.9113,0.343429,-11.9556,-11.1415,-9.96288,0.000634921,-11.6022,-10.374,-8.58038,0.00406349,-11.2188,-9.58095,-7.18211,0.00952381
ETH,10000,100,15808,15705,0.998735,0.289838,1.30599,12.1915,23.9758,40.6597,-0.896377,10.8679,27.6237,0.472588,-11.6581,-10.5217,-8.90878,0.00267431,-11.1174,-9.38983,-6.95818,0.0120344,-10.5336,-8.2322,-4.97564,0.0312639
ETH,10000,500,15808,15371,0.998735,0.289838,1.30599,26.7715,53.7333,91.6687,13.6751,40.6032,78.7351,0.718366,-10.3244,-7.64501,-3.94474,0.0413116,-9.00808,-4.97282,0.612183,0.111379,-7.6968,-2.29489,5.24178,0.186975
ETH,100000,10,15808,14524,0.919218,1.33338,2.29346,3.49778,7.25742,12.4793,-11.0018,-7.40504,-2.6717,0.0650647,-14.1292,-13.293,-12.6226,0,-13.9196,-13.0273,-12.2526,0.000137703,-13.7218,-12.747,-11.8206,0.000137703
ETH,100000,50,15808,14494,0.919218,1.33338,2.29346,8.54671,16.9617,29.1672,-5.98097,2.1848,14.0291,0.299986,-13.563,-12.5216,-11.4976,0.000206982,-13.1201,-11.8287,-10.2941,0.00144888,-12.7149,-11.088,-8.95766,0.00607148
ETH,100000,100,15808,14451,0.919218,1.33338,2.29346,12.1915,23.9758,40.6597,-2.42891,9.18694,25.742,0.430212,-13.1773,-12.0005,-10.518,0.000830392,-12.6004,-10.9269,-8.68535,0.00588195,-12.0222,-9.7981,-6.73233,0.0188914
ETH,100000,500,15808,14142,0.919218,1.33338,2.29346,26.7715,53.7333,91.6687,12.292,39.2324,76.6891,0.692123,-11.8228,-9.22688,-5.58437,0.0265168,-10.5172,-6.56975,-1.08395,0.0841465,-9.19771,-3.87846,3.41377,0.150969
FARTCOIN,1000,10,5089,5080,1,7.37282,10.7708,14.0845,27.731,49.4264,-12.0085,1.24374,21.4246,0.264961,-24.8388,-21.6719,-19.1167,0,-23.9865,-20.6061,-17.4661,0.00295276,-23.2154,-19.5026,-15.6418,0.00708661
FARTCOIN,1000,50,5089,5048,1,7.37282,10.7708,31.4092,61.2671,109.892,4.4987,35.2811,82.3507,0.557647,-22.8397,-18.8785,-14.4839,0.00673534,-21.356,-16.3579,-9.46716,0.0285261,-19.9595,-13.7285,-4.66155,0.0671553
FARTCOIN,1000,100,5089,5007,1,7.37282,10.7708,44.2969,89.1872,154.547,17.383,62.3244,125.816,0.65688,-21.5907,-16.7842,-10.7883,0.0269623,-19.6485,-12.7525,-3.60876,0.0720991,-17.7001,-8.65967,3.81584,0.132015
FARTCOIN,1000,500,5089,4673,1,7.37282,10.7708,100.235,193.184,334.597,72.7548,164.679,306.277,0.834368,-16.7898,-7.32255,6.69375,0.151081,-12.0581,1.96668,23.0583,0.278836,-7.30788,11.3769,39.6064,0.38134
FARTCOIN,10000,10,5089,5080,1,9.75601,12.7567,14.0845,27.731,49.4264,-17.3812,-4.42929,15.401,0.202559,-29.5945,-27.1679,-24.7905,0,-28.8353,-26.0787,-23.127,0.000393701,-28.0234,-25.0638,-21.3752,0.00314961
FARTCOIN,10000,50,5089,5048,1,9.75601,12.7567,31.4092,61.2671,109.892,-0.396566,29.2534,76.637,0.497029,-27.7104,-24.4381,-20.5296,0.00297147,-26.1711,-21.7944,-15.588,0.0128764,-24.7073,-19.0178,-10.4129,0.0354596
FARTCOIN,10000,100,5089,5007,1,9.75601,12.7567,44.2969,89.1872,154.547,12.3465,56.63,120.405,0.613142,-26.5057,-22.2789,-16.819,0.0131815,-24.4729,-18.2922,-9.73792,0.0441382,-22.4118,-14.0286,-2.16943,0.0864789
FARTCOIN,10000,500,5089,4673,1,9.75601,12.7567,100.235,193.184,334.597,68.2108,159.923,300.997,0.816606,-21.4749,-12.7271,0.866622,0.105286,-16.7852,-3.18531,17.1238,0.213995,-11.9076,6.09586,34.0117,0.309437
FARTCOIN,100000,10,5089,2911,0.573394,22.0814,35.8949,14.0845,27.731,49.4264,-39.2238,-29.8762,-16.1417,0.0401924,-47.8538,-43.3241,-40.8059,0,-47.1824,-42.6136,-40.0737,0,-46.5232,-41.9143,-39.1663,0
FARTCOIN,100000,50,5089,2900,0.573394,22.0814,35.8949,31.4092,61.2671,109.892,-27.5705,-4.65089,25.1671,0.214483,-46.3143,-41.6401,-38.8476,0.000344828,-45.1134,-40.3144,-36.3583,0.00137931,-43.9934,-38.9022,-33.6794,0.00241379
FARTCOIN,100000,100,5089,2876,0.573394,22.0814,35.8949,44.2969,89.1872,154.547,-16.2158,17.5079,62.6627,0.348748,-45.2486,-40.7306,-36.8908,0.00173853,-43.6092,-38.6727,-33.2663,0.00347705,-42.1921,-36.3041,-28.3555,0.00764951
FARTCOIN,100000,500,5089,2708,0.573394,22.0814,35.8949,100.235,193.184,334.597,27.6731,98.471,204.208,0.651034,-41.4746,-35.1381,-26.6984,0.0114476,-38.3758,-29.0318,-15.6597,0.0409897,-35.0219,-22.4431,-4.45529,0.08161
HYPE,1000,10,11066,11056,0.999729,1.14198,2.57007,8.05205,15.2818,24.5209,-6.37883,0.74778,9.7105,0.268723,-13.3082,-12.0774,-11.1636,9.04486e-05,-12.8572,-11.5684,-10.2034,0.000361795,-12.4374,-10.9614,-9.14858,0.00117583
HYPE,1000,50,11066,11019,0.999729,1.14198,2.57007,19.6309,36.2255,56.5511,5.03189,21.7086,41.618,0.607405,-12.2004,-10.4674,-8.40569,0.00254107,-11.3604,-8.83982,-5.80995,0.0157909,-10.4671,-7.13122,-3.11085,0.0490063
HYPE,1000,100,11066,10979,0.999729,1.14198,2.57007,28.086,51.0757,80.2541,13.6479,36.4744,65.6997,0.716185,-11.4524,-9.08826,-6.29475,0.0113854,-10.141,-6.70049,-2.47762,0.0602969,-8.77843,-4.24874,1.49311,0.126696
HYPE,1000,500,11066,10644,0.999729,1.14198,2.57007,62.3136,112.311,173.687,47.9155,97.6305,158.98,0.875705,-8.16831,-3.28391,2.8975,0.155862,-5.07576,2.30018,11.4792,0.311537,-2.00445,7.9045,20.1646,0.43696
HYPE,10000,10,11066,10732,0.97036,2.24967,3.56344,8.05205,15.2818,24.5209,-8.42181,-1.47375,7.628,0.214592,-15.5038,-14.2437,-13.0879,0,-15.0601,-13.6471,-12.2655,0.000186359,-14.6263,-13.0324,-11.3397,0.000745434
HYPE,10000,50,11066,10698,0.97036,2.24967,3.56344,19.6309,36.2255,56.5511,2.8409,19.2777,39.2644,0.55917,-14.3286,-12.5441,-10.5867,0.000841279,-13.4247,-10.9527,-8.02307,0.00775846,-12.5123,-9.26202,-5.36568,0.0290709
HYPE,10000,100,11066,10661,0.97036,2.24967,3.56344,28.086,51.0757,80.2541,11.1697,33.5814,62.9335,0.678173,-13.5618,-11.294,-8.40569,0.00562799,-12.2403,-8.9016,-4.58562,0.0350811,-10.8883,-6.47795,-0.690701,0.0888284
HYPE,10000,500,11066,10345,0.97036,2.24967,3.56344,62.3136,112.311,173.687,45.5549,94.9141,156.686,0.855969,-10.2693,-5.48629,0.721346,0.111261,-7.15761,0.00101343,9.25595,0.250072,-4.06737,5.55137,17.9226,0.377864
HYPE,100000,10,11066,2366,0.213808,4.80976,6.66536,8.05205,15.2818,24.5209,-11.4461,-5.45386,2.92049,0.135672,-17.6927,-16.0018,-14.8914,0,-17.2922,-15.6292,-14.2637,0,-16.9084,-15.1373,-13.5187,0.000422654
HYPE,100000,50,11066,2360,0.213808,4.80976,6.66536,19.6309,36.2255,56.5511,-0.240832,13.9743,30.4301,0.495763,-16.4263,-14.6994,-13.1087,0,-15.6175,-13.3172,-11.0606,0.00127119,-14.8075,-11.9615,-8.85719,0.00762712
HYPE,100000,100,11066,2356,0.213808,4.80976,6.66536,28.086,51.0757,80.2541,7.36811,27.7752,53.3329,0.631154,-15.8093,-13.5795,-11.0922,0.00127334,-14.6212,-11.5608,-7.80775,0.0127334,-13.3667,-9.31674,-4.43229,0.0437182
HYPE,100000,500,11066,2310,0.213808,4.80976,6.66536,62.3136,112.311,173.687,41.2358,85.869,138.471,0.840693,-12.7631,-8.37479,-3.22675,0.0558442,-9.91745,-3.27396,4.45012,0.172727,-6.96947,1.90552,12.4217,0.291342
KBONK,1000,10,4620,4611,1,4.2308,5.87328,9.23219,18.6605,32.0856,-11.1687,-2.06919,11.0004,0.216222,-19.2438,-17.8358,-16.306,0,-18.7024,-17.1615,-15.0785,0.000216873,-18.2212,-16.3799,-13.8284,0.00433745
KBONK,1000,50,4620,4579,1,4.2308,5.87328,21.9901,42.0138,73.528,1.40932,21.1405,51.6652,0.530465,-17.9503,-15.8605,-13.1509,0.00349421,-16.9054,-13.9885,-9.92671,0.0152872,-15.8686,-12.0503,-6.40906,0.0401834
KBONK,1000,100,4620,4536,1,4.2308,5.87328,30.2186,58.8549,103.084,9.91098,37.768,81.6945,0.635141,-17.1146,-14.4467,-10.5119,0.0163139,-15.6488,-11.8159,-5.79338,0.047619,-14.1685,-8.91844,-0.917425,0.0917108
KBONK,1000,500,4620,4202,1,4.2308,5.87328,67.4212,133.324,227.801,47.129,112.678,205.574,0.829843,-13.5725,-7.32143,1.27052,0.116373,-10.2154,-0.554688,12.5553,0.23941,-6.99975,6.05104,23.6297,0.341742
KBONK,10000,10,4620,4611,1,4.75308,6.91812,9.23219,18.6605,32.0856,-12.0061,-3.42059,9.39029,0.192583,-20.119,-18.5482,-17.3411,0,-19.5987,-17.9053,-16.3629,0,-19.128,-17.2239,-15.1708,0.0023856
KBONK,10000,50,4620,4579,1,4.75308,6.91812,21.9901,42.0138,73.528,0.267703,19.8613,50.1234,0.505569,-18.7737,-16.8209,-14.5088,0.00262066,-17.7601,-15.059,-11.418,0.0113562,-16.8289,-13.1851,-7.88464,0.0340686
KBONK,10000,100,4620,4536,1,4.75308,6.91812,30.2186,58.8549,103.084,8.77082,36.4571,79.9659,0.618827,-18.0449,-15.4666,-11.77,0.0123457,-16.6643,-12.8711,-7.08793,0.0416667,-15.2095,-10.0844,-2.07388,0.0789242
KBONK,10000,500,4620,4202,1,4.75308,6.91812,67.4212,133.324,227.801,46.131,111.432,204.548,0.820562,-14.4851,-8.48734,-0.107223,0.0982865,-11.1246,-1.99307,10.8395,0.221085,-7.79426,4.73722,22.2505,0.324369
KBONK,100000,10,4620,3835,0.831602,7.97613,13.2528,9.23219,18.6605,32.0856,-16.3311,-8.5301,3.25221,0.122555,-25.4333,-20.6331,-19.3106,0,-24.5377,-20.1923,-18.7061,0,-23.5142,-19.7691,-18.0454,0.000260756
KBONK,100000,50,4620,3809,0.831602,7.97613,13.2528,21.9901,42.0138,73.528,-4.73072,13.2923,39.4749,0.41507,-23.1109,-19.471,-17.6726,0.00157522,-21.4385,-18.2989,-15.3505,0.00498819,-20.3963,-16.9418,-12.7124,0.0136519
KBONK,100000,100,4620,3779,0.831602,7.97613,13.2528,30.2186,58.8549,103.084,3.30204,29.6815,70.7091,0.548293,-21.6857,-18.5459,-16.0289,0.00423392,-20.1269,-16.6252,-12.2196,0.0177296,-18.9579,-14.1816,-7.79958,0.0444562
KBONK,100000,500,4620,3529,0.831602,7.97613,13.2528,67.4212,133.324,227.801,38.8444,100.621,188.691,0.784358,-18.2114,-13.0156,-5.65768,0.0575234,-15.3622,-7.11121,4.79405,0.141116,-12.4196,-1.13556,15.4399,0.234911
KPEPE,1000,10,4852,4845,1,3.51741,5.07904,8.63558,17.1674,30.9598,-10.4115,-1.99928,10.9426,0.212384,-17.8081,-16.4249,-14.7344,0.000619195,-17.375,-15.7547,-13.6556,0.00103199,-16.9633,-14.9947,-12.5905,0.00350877
KPEPE,1000,50,4852,4810,1,3.51741,5.07904,19.422,39.0008,67.5921,0.520562,19.3222,48.0122,0.510187,-16.7756,-14.6633,-12.0742,0.00561331,-15.8358,-12.9911,-9.12188,0.0193347,-14.9212,-11.1843,-6.04219,0.04158
KPEPE,1000,100,4852,4777,1,3.51741,5.07904,27.2805,54.1029,97.4062,8.07977,34.5892,78.2205,0.623194,-16.0121,-13.2164,-9.42911,0.0157002,-14.7217,-10.7423,-4.81967,0.0544275,-13.4321,-8.19761,-0.0343426,0.0992255
KPEPE,1000,500,4852,4443,1,3.51741,5.07904,58.6655,120.701,214.44,39.6542,101.531,195.348,0.816115,-12.9034,-7.07798,1.83242,0.124691,-10.0766,-1.16522,12.3068,0.2316,-7.20395,4.81015,23.05,0.32208
KPEPE,10000,10,4852,4843,0.999588,4.24349,5.93264,8.63558,17.1674,30.9598,-11.9951,-3.53637,9.21664,0.188726,-19.1041,-17.477,-16.2196,0.000412967,-18.5875,-16.9153,-15.3202,0.000619451,-18.1143,-16.2183,-14.2315,0.0024778
KPEPE,10000,50,4852,4808,0.999588,4.24349,5.93264,19.422,39.0008,67.5921,-0.82858,17.7368,45.9781,0.485649,-17.8476,-16.0069,-13.657,0.00374376,-16.9344,-14.3675,-10.9194,0.0141431,-16.0618,-12.6776,-7.73144,0.0301581
KPEPE,10000,100,4852,4775,0.999588,4.24349,5.93264,27.2805,54.1029,97.4062,6.7602,33.062,75.6404,0.605026,-17.1373,-14.6301,-11.0895,0.0110995,-15.8595,-12.2331,-6.58346,0.0406283,-14.6502,-9.64627,-1.94648,0.0835602
KPEPE,10000,500,4852,4442,0.999588,4.24349,5.93264,58.6655,120.701,214.44,38.3524,99.3638,191.937,0.805943,-14.0824,-8.49329,0.229979,0.103782,-11.2753,-2.76087,10.6877,0.206664,-8.41674,3.2118,21.0918,0.298514
KPEPE,100000,10,4852,4707,0.971558,7.74668,13.7361,8.63558,17.1674,30.9598,-17.0255,-9.39545,1.54819,0.107924,-25.8522,-19.9501,-18.5233,0,-25.266,-19.5343,-18.0272,0.000424899,-24.6363,-19.1391,-17.4208,0.000637349
KPEPE,100000,50,4852,4673,0.971558,7.74668,13.7361,19.422,39.0008,67.5921,-7.64712,9.77685,35.6973,0.369356,-24.314,-19.0266,-17.199,0.00149797,-22.7484,-18.1392,-15.5059,0.00385192,-21.1814,-17.122,-13.3353,0.0132677
KPEPE,100000,100,4852,4641,0.971558,7.74668,13.7361,27.2805,54.1029,97.4062,0.167026,24.9844,64.384,0.501616,-22.8818,-18.2372,-15.8494,0.00344753,-20.711,-16.6997,-12.5992,0.014652,-19.2578,-14.8271,-8.69123,0.0377074
KPEPE,100000,500,4852,4322,0.971558,7.74668,13.7361,58.6655,120.701,214.44,30.8278,88.9741,179.187,0.743637,-18.5471,-13.9933,-6.91054,0.0485886,-16.2322,-9.11709,2.73255,0.121934,-13.7077,-3.80286,12.7651,0.20199
LDO,1000,10,4572,4566,1,6.67408,8.44281,8.77578,16.9648,29.0715,-16.2602,-7.8271,3.58085,0.130311,-24.2031,-22.1641,-20.2244,0.00021901,-23.6967,-21.4443,-19.2745,0.00065703,-23.2222,-20.7023,-18.2012,0.00087604
LDO,1000,50,4572,4532,1,6.67408,8.44281,21.2726,40.9531,68.9634,-4.16077,15.8314,43.3205,0.437996,-22.8415,-20.1748,-17.1376,0.000882613,-21.7403,-18.3268,-14.1335,0.00661959,-20.7216,-16.4363,-10.9773,0.0178729
LDO,1000,100,4572,4495,1,6.67408,8.44281,28.4226,56.1016,93.8176,3.17017,30.4387,68.942,0.543938,-22.0901,-18.9593,-14.9459,0.00667408,-20.7748,-16.3501,-10.6057,0.0213571,-19.2593,-13.612,-6.1562,0.0482759
LDO,1000,500,4572,4161,1,6.67408,8.44281,64.1208,123.331,212.274,38.4417,98.173,185.978,0.775775,-18.6849,-12.4753,-3.49358,0.0711367,-15.5495,-6.36375,6.771,0.155011,-12.4748,-0.314821,17.1674,0.245374
LDO,10000,10,4572,4566,1,7.941,10.1659,8.77578,16.9648,29.0715,-18.8382,-10.9604,0.1375,0.101183,-26.678,-24.8946,-23.4671,0,-26.1461,-24.2385,-22.5595,0.00021901,-25.6839,-23.6072,-21.5144,0.00065703
LDO,10000,50,4572,4532,1,7.941,10.1659,21.2726,40.9531,68.9634,-6.77041,12.8288,40.051,0.392983,-25.3216,-23.1016,-20.6197,0.000661959,-24.2747,-21.3064,-17.6564,0.00441306,-23.2982,-19.5539,-14.5341,0.011474
LDO,10000,100,4572,4495,1,7.941,10.1659,28.4226,56.1016,93.8176,0.210879,27.4339,65.3438,0.503003,-24.5717,-21.8517,-18.3666,0.00378198,-23.2569,-19.3599,-14.1991,0.0149055,-21.9555,-16.7651,-9.72288,0.0331479
LDO,10000,500,4572,4161,1,7.941,10.1659,64.1208,123.331,212.274,35.9032,94.1058,182.055,0.751983,-21.2468,-15.7304,-7.05113,0.0497477,-18.1894,-9.97986,3.49146,0.125931,-15.047,-3.92005,13.9727,0.203557
LDO,100000,10,4572,1047,0.22944,18.3051,33.7431,8.77578,16.9648,29.0715,-36.4179,-30.6751,-23.4723,0.0114613,-41.7866,-39.3825,-37.7838,0,-41.3983,-38.992,-37.2179,0,-40.9671,-38.6011,-36.6973,0
LDO,100000,50,4572,1042,0.22944,18.3051,33.7431,21.2726,40.9531,68.9634,-28.6205,-15.7899,5.51739,0.1238,-40.7927,-38.1659,-36.2909,0,-39.9426,-37.2213,-34.5262,0,-39.2787,-36.2935,-32.7921,0
LDO,100000,100,4572,1033,0.22944,18.3051,33.7431,28.4226,56.1016,93.8176,-24.1532,-3.18288,24.3504,0.230397,-40.2451,-37.5301,-34.7655,0,-39.2168,-36.0142,-32.2594,0,-38.4272,-34.5092,-29.159,0.00290416
LDO,100000,500,4572,991,0.22944,18.3051,33.7431,64.1208,123.331,212.274,1.73114,46.245,124.498,0.523713,-37.9318,-33.6659,-27.2265,0.00504541,-36.1201,-29.9425,-19.6685,0.0232089,-34.1707,-25.7893,-11.7857,0.0524723
LINK,1000,10,4864,4855,1,3.1273,4.36906,7.87768,14.9787,26.1463,-10.2668,-3.34721,6.84252,0.178373,-17.1842,-16.1026,-14.9468,0,-16.7196,-15.4441,-14.0622,0.000205973,-16.3106,-14.8057,-13.0834,0.00205973
LINK,1000,50,4864,4832,1,3.1273,4.36906,17.9322,34.7573,58.4736,-0.269382,16.3316,39.6886,0.491929,-16.1524,-14.3987,-12.3019,0.00186258,-15.2853,-12.8737,-9.63295,0.00910596,-14.444,-11.2647,-6.78488,0.0233858
LINK,1000,100,4864,4790,1,3.1273,4.36906,25.506,48.6761,78.7634,7.11683,29.6547,59.5036,0.617328,-15.4175,-13.256,-10.6819,0.0085595,-14.2766,-11.0423,-7.07407,0.0275574,-13.0588,-8.71078,-3.1761,0.0617954
LINK,1000,500,4864,4456,1,3.1273,4.36906,52.2965,102.86,170.384,34.0734,83.8247,152.036,0.802962,-12.871,-8.15441,-1.59236,0.0814632,-10.2601,-3.16452,6.86388,0.186939,-7.61494,1.91638,15.6314,0.285009
LINK,10000,10,4864,4850,0.998972,4.01374,5.51657,7.87768,14.9787,26.1463,-11.9978,-5.15217,4.95108,0.155258,-18.8727,-17.4243,-16.3165,0,-18.3569,-16.8351,-15.5911,0,-17.9051,-16.216,-14.6121,0.000618557
LINK,10000,50,4864,4827,0.998972,4.01374,5.51657,17.9322,34.7573,58.4736,-1.83121,14.1374,37.1189,0.45577,-17.6774,-15.9677,-14.112,0.000828672,-16.8329,-14.5537,-11.5575,0.00642221,-16.0169,-13.0188,-8.76759,0.0174021
LINK,10000,100,4864,4785,0.998972,4.01374,5.51657,25.506,48.6761,78.7634,5.33126,27.9945,57.6091,0.588297,-16.9614,-14.8682,-12.3699,0.00564263,-15.7528,-12.719,-8.83787,0.0202717,-14.5636,-10.4324,-5.13576,0.046604
LINK,10000,500,4864,4451,0.998972,4.01374,5.51657,52.2965,102.86,170.384,31.9932,82.3873,150.135,0.789036,-14.3719,-9.96618,-3.14503,0.0640306,-11.8547,-4.96327,5.07415,0.154347,-9.29224,0.0727552,13.3917,0.25118
LINK,100000,10,4864,2953,0.608553,6.95576,9.50202,7.87768,14.9787,26.1463,-14.6859,-8.15744,0.130682,0.101592,-21.1417,-18.7324,-17.7891,0,-20.5924,-18.3675,-17.2815,0,-20.0374,-17.9831,-16.611,0
LINK,100000,50,4864,2945,0.608553,6.95576,9.50202,17.9322,34.7573,58.4736,-5.55779,8.73208,29.1873,0.378947,-19.7324,-17.8545,-16.283,0,-18.94,-16.8355,-14.469,0.00237691,-18.2144,-15.6788,-12.2449,0.00950764
LINK,100000,100,4864,2927,0.608553,6.95576,9.50202,25.506,48.6761,78.7634,1.17655,22.0792,48.8996,0.518961,-19.1741,-17.0848,-14.9438,0.000683293,-18.232,-15.4592,-11.9858,0.0109327,-17.2272,-13.6263,-8.73542,0.0252819
LINK,100000,500,4864,2784,0.608553,6.95576,9.50202,52.2965,102.86,170.384,26.8384,73.112,137.145,0.75,-16.8903,-12.818,-7.44087,0.0334052,-14.6029,-8.33134,0.414172,0.104885,-12.3527,-3.81759,8.23132,0.181753
LTC,1000,10,5034,5028,1,3.6954,4.91181,6.5007,12.8098,21.8775,-12.6039,-6.5472,2.22141,0.125895,-18.5667,-17.3116,-15.9661,0.000198886,-18.1758,-16.7806,-15.12,0.000198886,-17.8138,-16.1823,-14.2957,0.000795545
LTC,1000,50,5034,4996,1,3.6954,4.91181,13.9788,27.8685,48.5907,-5.39257,8.39233,29.2233,0.3751,-17.7402,-16.0164,-13.9568,0.00140112,-17.0564,-14.7371,-11.8428,0.0060048,-16.3954,-13.5142,-9.67643,0.0182146
LTC,1000,100,5034,4963,1,3.6954,4.91181,19.9925,38.5869,66.0111,0.671625,19.4149,46.0027,0.51219,-17.1548,-15.0243,-12.3972,0.00503728,-16.1698,-13.1915,-9.4412,0.0185372,-15.2391,-11.3897,-6.30233,0.0435221
LTC,1000,500,5034,4629,1,3.6954,4.91181,42.5639,84.3582,146.864,23.1152,64.5652,126.433,0.742493,-14.9236,-10.8677,-4.87191,0.0533593,-12.8615,-6.71161,2.17733,0.124001,-10.7857,-2.60181,9.66455,0.206092
LTC,10000,10,5034,5028,1,4.51664,5.76739,6.5007,12.8098,21.8775,-14.1877,-8.09924,0.323442,0.103421,-20.0309,-18.8107,-17.7242,0.000198886,-19.6216,-18.2557,-16.9686,0.000198886,-19.2762,-17.7707,-16.16,0.000198886
LTC,10000,50,5034,4996,1,4.51664,5.76739,13.9788,27.8685,48.5907,-6.98283,6.48248,27.2181,0.343275,-19.1824,-17.6201,-15.8649,0.0010008,-18.4721,-16.498,-13.6773,0.0040032,-17.8001,-15.2445,-11.486,0.0116093
LTC,10000,100,5034,4963,1,4.51664,5.76739,19.9925,38.5869,66.0111,-1.04815,17.4463,44.3754,0.482571,-18.6213,-16.7506,-14.2747,0.00342535,-17.6697,-14.9349,-11.312,0.0153133,-16.7672,-13.1099,-8.19596,0.0324401
LTC,10000,500,5034,4629,1,4.51664,5.76739,42.5639,84.3582,146.864,21.5971,62.8467,124.398,0.721106,-16.4645,-12.6228,-6.78635,0.0436379,-14.3929,-8.55785,0.452568,0.103694,-12.2915,-4.39699,7.65207,0.180169
LTC,100000,10,5034,4405,0.875844,7.68878,11.0959,6.5007,12.8098,21.8775,-18.6658,-12.7933,-4.79391,0.0631101,-25.87,-21.2653,-19.8593,0.000227015,-25.3524,-20.9269,-19.4367,0.000227015,-24.8068,-20.5744,-18.8816,0.000227015
