date,horizon,n_cascades,n_windows,auc,precision_top_1pct,leave_out_pooled_auc_drop
2026-04-03,100,0,109,,0.0,0.005284152291581967
2026-04-04,100,1,457,0.6995614035087719,0.0,-0.01150979626956894
2026-04-06,100,4,253,0.6706827309236948,0.0,-0.03036806358079447
2026-04-07,100,3,341,0.8284023668639052,0.0,0.006535974598890215
2026-04-09,100,3,333,0.8484848484848485,0.3333333333333333,0.010768583803659304
2026-04-10,100,2,262,0.6596153846153846,0.0,-0.012919609953070177
2026-04-13,100,7,398,0.8713920350748994,0.0,0.03719113426782472
2026-04-03,500,0,59,,0.0,0.001135465716131323
2026-04-04,500,3,407,0.6287128712871287,0.0,0.009793204331684735
2026-04-06,500,13,203,0.74251012145749,0.0,-0.013877683603909063
2026-04-07,500,9,291,0.8904649330181245,0.6666666666666666,0.007996284968954548
2026-04-09,500,13,283,0.8182336182336183,0.0,0.0009616095230552402
2026-04-10,500,8,212,0.7444852941176471,0.5,-0.009791609127926426
2026-04-13,500,27,348,0.8430829583477558,0.6666666666666666,0.007748657546531756
