symbol,horizon,offset_bps,n_windows,fill_rate_bid,fill_rate_ask,fill_rate_either,mean_pnl_bid_filled,median_pnl_bid_filled,q25_pnl_bid_filled,q75_pnl_bid_filled,mean_pnl_ask_filled,median_pnl_ask_filled,q25_pnl_ask_filled,q75_pnl_ask_filled,mean_pnl_either_filled,median_pnl_either_filled,unconditional_maker_pnl_bps,model_accuracy_breakeven
SOL,500,1,9762,0.91723,0.920918,0.998771,-6.47855,-3.80931,-45.2169,32.5116,-4.70992,-4.78238,-41.3384,33.9798,-5.59246,-4.3449,-8.13989,0.231782
SOL,500,2,9762,0.902479,0.905552,0.998771,-6.51272,-3.73671,-45.2299,32.0544,-4.93629,-4.74634,-41.3272,33.0289,-5.72317,-4.28454,-8.17383,0.237907
SOL,500,5,9762,0.866114,0.870313,0.998771,-6.21109,-3.29451,-44.454,32.0788,-4.78509,-4.15488,-40.1175,32.2162,-5.49636,-3.8083,-7.77202,0.227092
SUI,10,1,5200,0.541346,0.541346,0.887885,-6.18333,-5.15916,-14.8688,2.66149,-5.77505,-4.49708,-13.0154,3.31712,-5.97919,-4.95607,-6.23681,0.24913
SUI,10,2,5200,0.491538,0.496538,0.840192,-6.25529,-5.35313,-15.1433,2.3945,-5.56515,-4.19815,-13.1902,3.89379,-5.90847,-4.80885,-5.91901,0.246127
SUI,10,5,5200,0.3775,0.374423,0.6875,-6.0514,-5.08997,-15.2119,2.96811,-5.6563,-3.90541,-13.8751,4.4411,-5.85466,-4.62315,-5.20113,0.243794
SUI,50,1,5167,0.78053,0.775498,0.996323,-7.78428,-6.70077,-25.621,10.6718,-7.12518,-4.91154,-23.9993,12.5796,-7.4558,-5.65543,-8.80072,0.298814
SUI,50,2,5167,0.748597,0.745887,0.993613,-8.02334,-6.87106,-25.9722,10.0626,-7.21568,-4.76522,-24.0441,12.5682,-7.62024,-5.90367,-8.69417,0.303156
SUI,50,5,5167,0.666344,0.66228,0.966712,-7.95372,-7.0065,-26.0285,10.0106,-7.34153,-5.00698,-24.4925,11.9528,-7.64856,-6.11582,-8.08103,0.303885
SUI,100,1,5127,0.842598,0.840062,0.997269,-7.70073,-6.45372,-32.8358,18.7126,-7.73154,-5.7357,-31.1127,19.3484,-7.71611,-6.12646,-9.4918,0.305602
SUI,100,2,5127,0.815877,0.818802,0.997074,-8.04762,-6.45795,-32.7669,18.2072,-7.83222,-5.86815,-31.0458,19.1915,-7.93973,-6.05469,-9.48946,0.311077
SUI,100,5,5127,0.755803,0.760679,0.993954,-8.08027,-6.97544,-32.2018,17.8324,-7.91098,-5.48901,-30.8819,18.8846,-7.99535,-6.14458,-9.0624,0.312391
SUI,500,1,4793,0.927185,0.926351,0.997496,-10.2509,-7.33171,-67.2062,47.2636,-6.06274,-3.39896,-60.0968,52.8887,-8.15775,-5.51172,-10.5603,0.316126
SUI,500,2,4793,0.917171,0.916128,0.997496,-10.2723,-7.97999,-66.9367,47.2928,-6.46628,-3.51084,-59.9485,52.1832,-8.37036,-5.68389,-10.6727,0.320796
SUI,500,5,4793,0.889422,0.887962,0.997496,-10.5407,-8.3719,-67.0143,46.6924,-6.42466,-3.80681,-59.9403,52.2621,-8.48435,-6.0307,-10.54,0.323204
UNI,10,1,4633,0.47766,0.48133,0.80531,-7.65675,-6.84259,-15.9335,2.60875,-7.41348,-5.66444,-16.6958,2.87246,-7.53465,-6.46204,-6.61283,0.30092
UNI,10,2,4633,0.437945,0.436003,0.758256,-7.69054,-6.39994,-16.2484,2.0004,-7.64619,-6.0348,-17.1414,1.9996,-7.66842,-6.22921,-6.3509,0.304392
