symbol,horizon,fold,quintile,n_windows,directional_accuracy,binomial_2sigma_lower_bound,mean_signed_return_bps,mean_abs_edge_bps,mean_slip_bps,gross_round_trip_bps,cost_round_trip_bps,headroom_bps,tradeable
2Z,100,2026-02,1,105,0.49523809523809526,0.3976525138942769,4.867310663463312,52.701517501624124,12.374624819999681,-0.5019192143011804,32.74924963999936,-33.251168854300545,False
2Z,100,2026-02,2,104,0.5,0.401941932430908,-0.41359794872380024,63.92551217756514,12.355061499566384,0.0,32.710122999132764,-32.710122999132764,False
2Z,100,2026-02,3,104,0.5480769230769231,0.4504732091131731,4.732457863820624,56.86135366536631,12.511002953655419,5.467437852439074,33.02200590731084,-27.554568054871766,False
2Z,100,2026-02,4,104,0.5480769230769231,0.4504732091131731,6.403446806451376,67.36205850477108,12.46315297758082,6.47712101007415,32.92630595516164,-26.449184945087488,False
2Z,100,2026-02,5,105,0.5333333333333333,0.4359604342213038,-4.95525340860096,56.75497408291062,12.837634976475,3.7836649388607073,33.67526995295,-29.891605014089297,False
2Z,100,2026-03,1,92,0.5652173913043478,0.4618508649187726,10.8318884810179,42.92867769950345,11.975028945819373,5.59939274341349,31.950057891638746,-26.350665148225257,False
2Z,100,2026-03,2,92,0.5217391304347826,0.417580511803736,1.702552013423156,45.35187795029388,12.099004791902987,1.9718207804475587,32.19800958380597,-30.22618880335841,False
2Z,100,2026-03,3,91,0.43956043956043955,0.33550063859333656,-2.3875808935602083,56.72115932671598,12.30245376747812,-6.8564038746579765,32.60490753495624,-39.46131140961422,False
2Z,100,2026-03,4,92,0.5978260869565217,0.49558382208256935,9.087679917802689,52.41576493616511,11.329656169573786,10.255258357075782,30.659312339147572,-20.40405398207179,False
2Z,100,2026-03,5,92,0.5,0.39574279297146264,-0.5228392167381294,47.83418873557831,11.95123641826411,0.0,31.90247283652822,-31.90247283652822,False
2Z,500,2026-02,1,94,0.48936170212765956,0.3862429260305742,-2.9892312519232727,147.1612882515159,12.385527859880174,-3.1310912393939603,32.77105571976035,-35.90214695915431,False
2Z,500,2026-02,2,93,0.5806451612903226,0.478307672398383,31.304759504173525,146.05895704990343,11.73472708583806,23.55789629837153,31.46945417167612,-7.911557873304588,False
2Z,500,2026-02,3,93,0.45161290322580644,0.3484044412767862,13.190193129303035,123.48032751751495,12.803604208166265,-11.949709114598225,33.607208416332526,-45.55691753093075,False
2Z,500,2026-02,4,93,0.5483870967741935,0.4451786348251733,19.727888368330515,150.56604081009743,12.67365767599876,14.570907175170706,33.34731535199752,-18.776408176826816,False
2Z,500,2026-02,5,93,0.5161290322580645,0.4124878285287098,-2.7752357412388586,131.59463374239573,13.086576700684429,4.244988185238568,34.17315340136886,-29.92816521613029,False
2Z,500,2026-03,1,82,0.5365853658536586,0.42644985929406076,17.29632957793037,97.98787681885634,12.203237758584608,7.169844645282177,32.40647551716921,-25.236630871887037,False
2Z,500,2026-03,2,82,0.4268292682926829,0.3175866329944701,-17.028505361650225,99.11301734618739,11.581661061862977,-14.504344001881083,31.163322123725955,-45.66766612560704,False
2Z,500,2026-03,3,81,0.5185185185185185,0.4074836414548803,-0.5243012353195864,102.05454107001725,11.75155871911342,3.7797978174080407,31.50311743822684,-27.7233196208188,False
2Z,500,2026-03,4,82,0.5365853658536586,0.42644985929406076,13.21778261094222,111.25601336527487,11.777182567531703,8.140683904776218,31.554365135063406,-23.41368123028719,False
2Z,500,2026-03,5,82,0.6707317073170732,0.5669376607476835,59.424724040138535,127.26847028073018,12.470077637913592,43.457526437322514,32.94015527582718,10.517371161495333,True
AAVE,100,2026-02,1,123,0.5203252032520326,0.4302327690366441,-1.562606542714603,48.21247791874021,3.491483551451208,1.9598568259650546,14.982967102902416,-13.023110276937361,False
AAVE,100,2026-02,2,123,0.5040650406504065,0.41390105717088926,5.474280165888042,61.727700197709126,3.4944362322269633,0.5018512211195822,14.988872464453927,-14.487021243334345,False
AAVE,100,2026-02,3,123,0.5365853658536586,0.4466601013090038,-2.964120834755693,54.52743883942496,3.622769807181955,3.989812598006708,15.24553961436391,-11.255727016357202,False
AAVE,100,2026-02,4,123,0.4796747967479675,0.38958236253257905,4.679963129358234,53.37603812762198,3.3617828778543024,-2.169757647464308,14.723565755708606,-16.893323403172914,False
AAVE,100,2026-02,5,123,0.4715447154471545,0.38152388736379617,-4.8113752680458015,56.06004426599644,3.8379781947038065,-3.1904090232680886,15.675956389407613,-18.8663654126757,False
AAVE,100,2026-03,1,98,0.41836734693877553,0.3187074948388501,-9.77347648372713,50.34690245626116,3.0931320289319917,-8.219902441838554,14.186264057863983,-22.406166499702536,False
