symbol,horizon,fold,n_test_windows,p_cascade,precision_top_decile,recall_top_decile,lift,auc,mean_edge_in_cascade_bps,headroom_top_decile_bps,expected_gross_per_day
2Z,10,2026-02,530,0.007547169811320755,0.0,0.0,0.0,0.3664448669201521,131.9034819607623,-10.0,-18.928571428571427
2Z,10,2026-03,469,0.0021321961620469083,0.0,0.0,0.0,0.7585470085470085,131.4079388976097,-10.0,-16.75
2Z,50,2026-02,527,0.011385199240986717,0.0,0.0,0.0,0.6602687140115162,256.83157417612773,-10.0,-18.821428571428573
2Z,50,2026-03,467,0.0,0.0,,,,,,
2Z,100,2026-02,522,0.009578544061302681,0.0,0.0,0.0,0.38065764023210824,344.2895818734546,-10.0,-18.642857142857142
2Z,100,2026-03,459,0.0,0.0,,,,,,
2Z,500,2026-02,466,0.002145922746781116,0.0,0.0,0.0,0.546236559139785,729.4418540550419,-10.0,-16.642857142857142
2Z,500,2026-03,409,0.0,0.0,,,,,,
AAVE,10,2026-02,625,0.0368,0.1774193548387097,0.4782608695652174,4.821178120617111,0.7033800375559729,81.43761540059506,382.62524956458,854.0742177780803
AAVE,10,2026-03,502,0.013944223107569721,0.02,0.14285714285714285,1.4342857142857144,0.5734487734487734,73.5743428543042,95.52662889388776,171.26559894547017
AAVE,50,2026-02,622,0.027331189710610933,0.12903225806451613,0.47058823529411764,4.721062618595825,0.6779776373359262,209.8036491567179,980.4961652787745,2178.1021957264206
AAVE,50,2026-03,498,0.014056224899598393,0.04081632653061224,0.2857142857142857,2.9037900874635567,0.6790805935408787,167.46635832532823,476.2871512887082,847.1107190777738
AAVE,100,2026-02,615,0.03577235772357724,0.08196721311475409,0.22727272727272727,2.2913561847988073,0.6562164648168021,273.3845697575608,616.421424742548,1353.9256293452395
AAVE,100,2026-03,490,0.01020408163265306,0.02040816326530612,0.2,2.0,0.7224742268041238,205.4263972531758,400.8527945063516,701.4923903861153
AAVE,500,2026-02,559,0.017889087656529516,0.07272727272727272,0.4,4.065454545454545,0.6646630236794172,603.5592478166766,2443.742687487434,4878.7577225195555
AAVE,500,2026-03,440,0.00909090909090909,0.0,0.0,0.0,0.474197247706422,639.2633736265888,-10.0,-15.714285714285714
ASTER,10,2026-02,603,0.02321724709784411,0.05,0.21428571428571427,2.153571428571429,0.7141644433664808,97.6016167143304,200.1920531383616,431.12788586582866
ASTER,10,2026-03,486,0.00823045267489712,0.020833333333333332,0.25,2.5312499999999996,0.774377593360996,116.54945233203762,285.01580121547016,494.70599782399466
ASTER,50,2026-02,600,0.02,0.08333333333333333,0.4166666666666667,4.166666666666666,0.8041383219954649,272.49507409957647,1125.3961420815685,2411.563161603361
ASTER,50,2026-03,482,0.006224066390041493,0.020833333333333332,0.3333333333333333,3.3472222222222223,0.7515657620041754,267.81455081618446,886.4348159263952,1525.9342188447233
ASTER,100,2026-02,592,0.02195945945945946,0.0847457627118644,0.38461538461538464,3.859191655801825,0.7245914707054603,359.7183797899982,1378.222169724113,2913.955444559553
ASTER,100,2026-03,474,0.002109704641350211,0.02127659574468085,1.0,10.085106382978724,0.9217758985200846,275.844434672764,2771.92046882745,4692.465365086468
ASTER,500,2026-02,536,0.014925373134328358,0.07547169811320754,0.5,5.056603773584905,0.7736742424242424,737.8642558825288,3721.0871806890136,7123.224031604683
ASTER,500,2026-03,424,0.0,0.0,,,,,,
AVAX,10,2026-02,599,0.02337228714524207,0.11864406779661017,0.5,5.076271186440678,0.6975579975579975,75.38437991960174,372.6715556935716,797.2509352158906
AVAX,10,2026-03,482,0.02074688796680498,0.0625,0.3,3.0125,0.6959745762711864,69.07045116531663,198.07473413551634,340.971506618996
AVAX,50,2026-02,593,0.025295109612141653,0.0847457627118644,0.3333333333333333,3.350282485875706,0.6761245674740485,187.94466474658597,619.6677186142682,1312.367704065218
