source_key,source_path,channel,symbol,date,hour,size_bytes,sha256,rows,archive_file,archive_size_bytes,archive_sha256,status
channel=bbo/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_multichannel_sample/channel=bbo/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz,bbo,2Z,2026-04-30,,785126,156c53c2082eebfa000562c85dfa9aab8324444399eab7c838cc71352dd01666,2909,archive_part-00000.parquet,534748,22e43a37b302e63c623c363fcd59a5183d4b01c5333e6b406ac0df38dfeb85d2,verified
channel=bbo/symbol=2Z/date=2026-05-01/hour=21/run-20260501T214645Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_multichannel_sample/channel=bbo/symbol=2Z/date=2026-05-01/hour=21/run-20260501T214645Z.jsonl.gz,bbo,2Z,2026-05-01,21,13551,4f317098b3d0cda5d2cb69a1e130dfe47b89f578ca50e5c4ea225aea4b65a99a,48,archive_part-00000.parquet,534748,22e43a37b302e63c623c363fcd59a5183d4b01c5333e6b406ac0df38dfeb85d2,verified
channel=book/symbol=2Z/date=2026-05-01/hour=21/run-20260501T214645Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_multichannel_sample/channel=book/symbol=2Z/date=2026-05-01/hour=21/run-20260501T214645Z.jsonl.gz,book,2Z,2026-05-01,21,269268,bef3201a9ecb9158b4283a52aed8cc3a569a3d997d917a13590bd1fc857873ac,619,archive_part-00000.parquet,534748,22e43a37b302e63c623c363fcd59a5183d4b01c5333e6b406ac0df38dfeb85d2,verified
channel=book/symbol=2Z/date=2026-05-01/hour=21/run-20260501T215139Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_multichannel_sample/channel=book/symbol=2Z/date=2026-05-01/hour=21/run-20260501T215139Z.jsonl.gz,book,2Z,2026-05-01,21,461886,853adbf400747aadb4548ba58a8248848bcb9b7d9f2046e93f575afae4fdef61,1068,archive_part-00000.parquet,534748,22e43a37b302e63c623c363fcd59a5183d4b01c5333e6b406ac0df38dfeb85d2,verified
channel=candle/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_multichannel_sample/channel=candle/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz,candle,2Z,2026-04-30,,1333890,412eb41f74ed08b493bde491efea457ddb86138d53dbaaf1300ef973fbfc9465,4770,archive_part-00000.parquet,534748,22e43a37b302e63c623c363fcd59a5183d4b01c5333e6b406ac0df38dfeb85d2,verified
channel=candle/symbol=2Z/date=2026-05-01/hour=00/run-20260501T214645Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_multichannel_sample/channel=candle/symbol=2Z/date=2026-05-01/hour=00/run-20260501T214645Z.jsonl.gz,candle,2Z,2026-05-01,00,1753,10a22ba1fd37f9d4224bb7fdb35550da21ab4d3b74d9560f7b0c9ceb9e08e78d,6,archive_part-00000.parquet,534748,22e43a37b302e63c623c363fcd59a5183d4b01c5333e6b406ac0df38dfeb85d2,verified
channel=mark_price_candle/symbol=2Z/date=2026-05-01/run-20260501T034250Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_multichannel_sample/channel=mark_price_candle/symbol=2Z/date=2026-05-01/run-20260501T034250Z.jsonl.gz,mark_price_candle,2Z,2026-05-01,,389470,ce6df966b82327b6250246bd3b875a88160a9e960b8f7fb3d08344c7ec1be882,1301,archive_part-00000.parquet,534748,22e43a37b302e63c623c363fcd59a5183d4b01c5333e6b406ac0df38dfeb85d2,verified
channel=mark_price_candle/symbol=2Z/date=2026-05-01/run-20260501T101433Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_multichannel_sample/channel=mark_price_candle/symbol=2Z/date=2026-05-01/run-20260501T101433Z.jsonl.gz,mark_price_candle,2Z,2026-05-01,,94540,b98fa4934459e19fa7f6439f240f525b1338858a6b49da1040c73bdff0c57f11,316,archive_part-00000.parquet,534748,22e43a37b302e63c623c363fcd59a5183d4b01c5333e6b406ac0df38dfeb85d2,verified
channel=prices/symbol=2Z/date=2026-05-01/run-20260501T034250Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_multichannel_sample/channel=prices/symbol=2Z/date=2026-05-01/run-20260501T034250Z.jsonl.gz,prices,2Z,2026-05-01,,228621,c8c4e092024d4c1f37b4c23d4cc3eb6bff459ba04813da8efb615fc412ee272c,40,archive_part-00000.parquet,534748,22e43a37b302e63c623c363fcd59a5183d4b01c5333e6b406ac0df38dfeb85d2,verified
channel=prices/symbol=2Z/date=2026-05-01/run-20260501T101433Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_multichannel_sample/channel=prices/symbol=2Z/date=2026-05-01/run-20260501T101433Z.jsonl.gz,prices,2Z,2026-05-01,,57952,cbf419ca061a8826301d6bd7010c480314530f44505daa7df82f9cc95a1e6087,10,archive_part-00000.parquet,534748,22e43a37b302e63c623c363fcd59a5183d4b01c5333e6b406ac0df38dfeb85d2,verified
channel=trades/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_multichannel_sample/channel=trades/symbol=2Z/date=2026-04-30/run-20260430T212120Z.jsonl.gz,trades,2Z,2026-04-30,,74540,82c8d89c4225b36089a41e1cc4e5e4a417fc1c8fee2bd31fbc4558067b79e5fa,252,archive_part-00000.parquet,534748,22e43a37b302e63c623c363fcd59a5183d4b01c5333e6b406ac0df38dfeb85d2,verified
channel=trades/symbol=2Z/date=2026-05-01/run-20260430T212120Z.jsonl.gz,/Users/diego/Dev/non-toxic/autoresearch-trading/data/pacifica_r2_rehydrate_multichannel_sample/channel=trades/symbol=2Z/date=2026-05-01/run-20260430T212120Z.jsonl.gz,trades,2Z,2026-05-01,,267988,28a598335cbaf284ed1a6bce5748df35f3ea75188a40714108e43716ccabc6ba,911,archive_part-00000.parquet,534748,22e43a37b302e63c623c363fcd59a5183d4b01c5333e6b406ac0df38dfeb85d2,verified
