key,size_bytes,mod_time,is_sidecar,payload_key,is_payload,channel,symbol,date,hour
raw/pacifica/full_fidelity/channel=bbo/symbol=BTC/date=2026-05-13/hour=12/run-20260513T122511Z.jsonl.gz,2383252,2026-05-13T13:03:10+00:00,False,raw/pacifica/full_fidelity/channel=bbo/symbol=BTC/date=2026-05-13/hour=12/run-20260513T122511Z.jsonl.gz,True,bbo,BTC,2026-05-13,12
raw/pacifica/full_fidelity/channel=book/symbol=ETH/date=2026-05-13/hour=12/run-20260513T122511Z.jsonl.gz,1032244,2026-05-13T13:03:10+00:00,False,raw/pacifica/full_fidelity/channel=book/symbol=ETH/date=2026-05-13/hour=12/run-20260513T122511Z.jsonl.gz,True,book,ETH,2026-05-13,12
raw/pacifica/full_fidelity/channel=prices/symbol=BTC/date=2026-05-13/hour=12/run-20260513T122511Z.jsonl.gz,64516,2026-05-13T13:03:09+00:00,False,raw/pacifica/full_fidelity/channel=prices/symbol=BTC/date=2026-05-13/hour=12/run-20260513T122511Z.jsonl.gz,True,prices,BTC,2026-05-13,12
raw/pacifica/full_fidelity/channel=trades/symbol=BTC/date=2026-05-13/hour=12/run-20260513T122511Z.jsonl.gz,42047,2026-05-13T12:58:06+00:00,False,raw/pacifica/full_fidelity/channel=trades/symbol=BTC/date=2026-05-13/hour=12/run-20260513T122511Z.jsonl.gz,True,trades,BTC,2026-05-13,12
