symbol,bucket_start_ms,avg_spread_bps,top_depth_notional,toxicity_score
2Z,1777584060000,12.217470983506765,4656.52074,0.5910709946534899
2Z,1777584120000,12.217470983506765,2804.1512875,0.610985126071594
2Z,1777584180000,12.217470983506765,2308.85185,0.5585751893462177
2Z,1777584240000,12.217470983506765,2308.7291333333333,0.4880602727816535
2Z,1777584300000,12.217470983506765,2308.5654999999997,0.5437773969375056
2Z,1777584360000,12.217470983506765,2308.6064499999998,0.5832018985592825
2Z,1777584420000,12.217470983506765,1827.23925,0.49928544363083116
2Z,1777584480000,17.46313350911633,9376.234271428571,0.7613615744988328
2Z,1777584540000,16.314878655282588,6954.441241666666,0.7505057033074759
2Z,1777584600000,20.071343649208995,9947.090796,0.7244144580816037
2Z,1777584660000,12.232415902141025,866.2086999999999,0.6760695424595228
2Z,1777584720000,12.232415902141023,924.0189666666665,0.6955534654220755
2Z,1777584780000,13.169921441464286,4234.624192307692,0.6761067288834006
2Z,1777584840000,16.53479101895565,7919.443247058823,0.6977912225934452
2Z,1777584900000,22.704526057973247,12207.991271428571,0.6708650459797307
2Z,1777584960000,22.006385380917767,14462.532819999999,0.7426885399776496
2Z,1777585020000,18.341146826376487,12918.7344,0.7014372552828765
2Z,1777585080000,22.006385380917767,15631.568659999997,0.6374088051040291
2Z,1777585140000,21.056138348258916,15727.599716666668,0.6921310321348404
2Z,1777585200000,19.868329557435352,12703.25319375,0.7866664550887377
2Z,1777585260000,20.37739046778831,12946.034461904765,0.7811074052916281
2Z,1777585320000,17.73027373395294,10529.439585,0.7417255398282628
2Z,1777585380000,17.662398945905878,9878.090377777778,0.6934655759503855
2Z,1777585440000,17.67569957299644,9209.853494444445,0.7246034356408791
2Z,1777585500000,20.754456823505866,9993.005443421054,0.8163412213432121
2Z,1777585560000,19.65871099898516,12104.136717857142,0.7080372043759443
2Z,1777585620000,21.421702478185583,16075.876675000001,0.7569463278085848
2Z,1777585680000,24.479804161565713,16550.88576,0.7358675560633426
2Z,1777585740000,24.479804161565713,16425.1728,0.6200001089946906
2Z,1777585800000,23.367767185791124,16852.3757,0.744112683840383
2Z,1777585860000,23.606060823457106,13166.509592857143,0.6536107055867473
2Z,1777585920000,18.100688389239604,8790.889826,0.6865439322335128
2Z,1777585980000,12.232415902141023,4512.368366666666,0.6705685163065674
2Z,1777586040000,12.232415902141023,5054.927133333333,0.730520725340432
2Z,1777586100000,12.232415902141025,5471.341875,0.6827223860348308
2Z,1777586160000,18.56739611986669,11813.543255555556,0.7422068796166464
2Z,1777586220000,16.813964095317623,10267.5783875,0.6585877557929075
2Z,1777586280000,12.232415902141025,4279.7099499999995,0.582828752030026
2Z,1777586340000,12.232415902141023,2214.7855999999997,0.5723009869148669
2Z,1777586400000,19.68116643767187,4807.077765217391,0.7018469470907713
2Z,1777586460000,20.377390467788306,8528.367266666666,0.6803469429233274
2Z,1777586520000,15.129948785198476,3428.7246714285716,0.7306321243257555
2Z,1777586580000,12.414624203969337,12564.8059848,0.7370870143084383
2Z,1777586640000,22.732317485348496,15340.22512857143,0.6823167013846815
2Z,1777586700000,22.44106970597896,14180.03055,0.7609219091510019
2Z,1777586760000,22.44106970597896,13250.718416666667,0.7589385263533134
2Z,1777586820000,22.95075331987565,20052.9027375,0.6842029506786201
2Z,1777586880000,22.722340270227978,14031.521123809525,0.7009967885034966
2Z,1777586940000,20.834322597132232,12875.730685185184,0.7408253719123246
2Z,1777587000000,18.363600794805453,10442.98114,0.830568394488972
2Z,1777587060000,20.98269059114497,12777.386714285716,0.7743011677178243
2Z,1777587120000,18.075549829670596,8486.711743478261,0.8179088214532326
2Z,1777587180000,14.947407424023453,9324.959916666667,0.7133542218452288
2Z,1777587240000,12.232415902141023,5206.3039666666655,0.7525809301606902
2Z,1777587300000,12.232415902141023,4908.614,0.6949605663620585
2Z,1777587360000,14.85044344109908,7813.286071428571,0.6509279936193226
2Z,1777587420000,17.119400641529396,9580.141132,0.7654402199384629
2Z,1777587480000,18.964486716604597,12027.65385510204,0.7905069150719782
2Z,1777587540000,20.105736926056895,12308.889792857142,0.7630686236983949
2Z,1777587600000,21.421702478185583,14122.321675000001,0.6406081198479973
2Z,1777587660000,18.04169535444965,11404.783794736843,0.7242035212978831
2Z,1777587720000,22.732317485348496,12256.707228571428,0.7415824041535952
2Z,1777587780000,12.247397428045192,4567.180200000001,0.6462423439244115
2Z,1777587840000,22.255730210016527,15639.953863636365,0.6727522569915285
